epoch,train_loss,train_acc,val_loss,val_acc,duration_min
1,2.0438047577889913,30.37745879851143,1.80702875737524,45.25607353906763,1.7785539905230203
2,1.8027352773148224,39.72355130249867,1.6570558013371237,43.52429415627052,1.8861769755681357
3,1.6867162171353183,42.81765018607124,1.550902571634329,49.548588312541035,1.8050197561581929
4,1.6133546246295911,45.06113769271664,1.4502059316760367,53.77544320420223,1.7942788362503053
5,1.565525286353566,45.8160552897395,1.349567924842033,57.025607353906764,1.8186869502067566
6,1.5201681097411908,47.49069643806486,1.3651267419265276,56.74655285620486,1.8973310987154643
7,1.4889037926358026,48.90483785220627,1.3628495829088156,52.74130006565988,1.9445722421010336
8,1.4586166742442455,50.143540669856456,1.3132944748108901,56.71372291529875,1.9207522074381511
9,1.4340746409331528,50.760233918128655,1.3395825550889624,54.30892974392646,1.8157934347788494
10,1.4162128758645958,50.85061137692717,1.2795608756734758,56.590610636900855,1.8104361057281495
